,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Former U.S.S.R.,Billion Kwh,184.025,184.993,175.46,180.186,203.155,205.046,213.477,217.466,228.512,220.998,230.697,232.679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Former Yugoslavia,Billion Kwh,27.868,25.044,23.295,21.623,25.645,24.363,27.474,25.98,25.612,23.256,19.601,18.929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,Billion Kwh,69.453,71.558,70.3,68.815,65.51,61.648,62.353,70.023,75.252,47.744,54.999,58.674,70.75,66.598,80.551,74.963,67.384,66.451,64.793,75.611,70.682,78.884,65.381,64.375,65.426,57.488,63.406,67.161,75.1,71.17,79.464,66.015,84.544,97.854,93.185,90.94,0,0
French Guiana,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0.549,0.571,0.593,0.616,0.639,0.663,0.689,0.708,0.737,0.65,0.556,0.49,0.5,0.49,0,0
French Polynesia,Billion Kwh,0,0,0,0.016,0.024,0.032,0.035,0.035,0.058,0.064,0.069,0.074,0.09,0.094,0.096,0.125,0.133,0.133,0.151,0.087,0.116,0.105,0.131,0.154,0.178,0.177,0.198,0.22,0.209,0.208,0.274,0.224,0.208,0.194,0.218,0.226,0,0
Gabon,Billion Kwh,0.257,0.408,0.482,0.541,0.604,0.66,0.665,0.668,0.669,0.693,0.701,0.708,0.716,0.711,0.748,0.792,0.769,0.808,0.811,0.83,0.802,0.876,0.921,0.898,0.891,0.811,0.943,0.8,0.893,0.944,0.907,0.841,0.911,0.934,0.798,0.921,0,0
"Gambia, The",Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,6.439,6.536,6.704,5.151,5.94,5.987,6.308,6.378,5.801,5.487,6.699,6.461,5.989,6.174,5.262,6.75,7.09,7.338,9.273,7.811,7.151,8.188,8.252,8.369,0,0
Germany,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,20.681,23.731,24.572,28.39,30.977,31.808,28.50443,31.408,33.26,41.048,45.519,51.455,52.967,62.9652,64.5422,74.0734,92.8194,98.072,100.284,110.74,129.659,149.47,158.431,169.477,193.735,0,0
"Germany, East",Billion Kwh,1.658,1.718,1.748,1.683,1.748,1.758,1.767,1.726,1.719,1.551,1.389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
