,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Chad,Billion Kwh,0.044,0.048,0.049,0.048,0.049,0.051,0.065,0.079,0.076,0.077,0.085,0.082,0.079,0.081,0.08,0.084,0.085,0.085,0.086,0.086,0.086,0.094,0.101,0.108,0.115,0.121,0.122,0.121,0.141,0.172,0.188,0.205,0.193,0.212,0.212,0.215,0,0
Chile,Billion Kwh,11.852,12.078,11.971,12.603,13.448,14.019,14.908,15.606,16.772,17.522,20.285,20.453,21.596,22.546,24.028,28.562,30.747,33.206,34.546,36.845,39.87774,41.15382,42.2807,45.21154,49.35654,50.76676,53.54382,56.31756,57.5186,58.51344,58.08444,63.25942,66.9102,70.03054,68.53244,72.3321,0,0
China,Billion Kwh,285.474,294.017,311.758,334.636,358.72,390.678,427.349,472.472,517.849,555.538,590.346,643.116,716.04,795.733,880.411,956.307,1005.499,1070.225,1103.697,1172.261,1280.613,1426.677,1584.671,1810.261,2103.526,2373.002,2716.712,3108.028,3297.471,3527.342,3984.01262,4461.69956,4735.54358,5170.66002,5387.91056,5581.739,0,0
Colombia,Billion Kwh,19.629,19.932,25.882,26.725,29.326,29.691,32.972,30.643,32.991,34.359,35.651,36.374,32.771,37.584,40.864,42.702,43.709,44.92,44.712,43.159,42.1707,42.45512,44.06702,45.58668,48.77062,49.34008,52.72912,54.1888,54.95146,55.8466,58.02598,59.90978,61.09712,67.8834,68.52388,67.25568,0,0
Comoros,Billion Kwh,0.009,0.01,0.01,0.011,0.012,0.014,0.014,0.014,0.014,0.016,0.015,0.015,0.015,0.015,0.015,0.015,0.016,0.016,0.017,0.017,0.019,0.028,0.031,0.033,0.042,0.045,0.048,0.044,0.043,0.041,0.045,0.059,0.058,0.055,0.054,0.054,0,0
Congo (Brazzaville),Billion Kwh,0.151,0.157,0.198,0.231,0.25,0.29,0.267,0.278,0.289,0.396,0.488,0.477,0.424,0.358,0.322,0.35,0.453,0.448,0.341,0.252,0.29294,0.331,0.392,0.39258,0.38998,0.42432,0.44414,0.39968,0.484,0.52346,0.7597,1.25488,1.64722,1.65472,1.68272,1.67646,0,0
Congo (Kinshasa),Billion Kwh,4.388,4.293,4.224,4.561,4.776,5.11,5.342,5.327,5.331,5.866,5.593,5.227,6.011,5.489,5.258,6.114,6.047,4.992,4.68,5.266,5.94182,5.9187,6.05652,6.10458,7.01452,7.32558,7.4638,7.77584,7.45124,7.7549,7.82184,7.81572,7.53546,8.17546,8.75134,8.85204,0,0
Cook Islands,Billion Kwh,0.01,0.011,0.01,0.009,0.01,0.011,0.012,0.013,0.013,0.014,0.015,0.015,0.0151,0.0151,0.0151,0.0191,0.0191,0.0191,0.0191,0.0211,0.0241,0.0241,0.0261,0.0271,0.02713,0.02713,0.03013,0.03113,0.03213,0.03113,0.03213,0.03213,0.032,0.032,0.032,0.032,0,0
Costa Rica,Billion Kwh,2.132,2.327,2.432,2.876,3.025,2.794,2.916,3.04,3.099,3.315,3.429,3.825,4.57,4.854,5.154,4.779,4.749,5.575,5.256,6.118,6.84846,6.878,7.41868,7.28558,7.96304,8.15674,8.58502,8.92968,9.36038,9.21194,9.47254,9.70522,10.0532,10.09424,10.08742,10.72452,0,0
Cote dIvoire (IvoryCoast),Billion Kwh,1.713,1.875,1.919,1.993,1.558,1.965,2.017,2.369,2.233,2.444,2.221,1.812,1.666,2.123,2.397,2.962,3.127,3.847,3.831,4.627,4.59984,4.6819,5.0631,4.8737,5.2784,5.42178,5.39802,5.38986,5.55396,5.63,5.69232,5.82534,6.68834,7.27544,7.88882,8.26176,0,0
Croatia,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,8.578,9.015,8.026,8.594,10.277,9.353,10.505,11.833,10.22004,11.65016,11.68252,12.02396,12.6961,11.88718,11.81644,11.50088,11.69966,12.23508,14.32912,10.7807,10.15614,13.53768,13.08606,10.88632,0,0
Cuba,Billion Kwh,10.259,10.806,11.37,11.861,12.558,12.469,13.488,13.881,14.873,15.53,14.493,12.413,12.168,11.215,11.472,11.886,12.676,13.461,13.359,13.8381,14.19216,14.44146,14.81986,14.91238,14.748404,14.45086,15.51046,16.600066,16.66938,16.72012,16.38562,16.73078,17.36536,18.04358,18.25272,19.11878,0,0
Cyprus,Billion Kwh,0.968,0.993,1.071,1.148,1.175,1.24,1.338,1.421,1.568,1.734,1.857,1.952,2.26,2.426,2.52,2.325,2.4365,2.548,2.777,2.951,3.168,3.338,3.558,3.809,3.948,4.114,4.373,4.579,4.775,4.856,5.00106,4.64194,4.4474,4.05422,4.10202,4.2829,0,0
Czech Republic,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,55.52935,55.38585,57.48185,60.163,61.16639,61.38,60.394,68.61,69.92992,71.66256,78.0624,78.9831,76.96922,78.5972,82.55662,78.30462,76.93744,80.369,81.76636,81.70446,81.0755,80.25348,77.8303,0,0
Denmark,Billion Kwh,25.162,18.453,22.394,20.716,19.702,25.647,28.754,27.594,25.783,21.203,24.488,34.418,28.98,32.039,37.903,34.589,50.509,41.852,38.89373,36.856,34.22084,35.83744,37.36228,43.9208,38.60988,34.70892,43.47584,37.62304,35.076,34.851,37.32084,34.0128,29.79296,33.6594,31.37586,28.39296,0,0
Djibouti,Billion Kwh,0.11,0.115,0.123,0.139,0.137,0.154,0.16,0.161,0.164,0.165,0.168,0.169,0.169,0.171,0.171,0.173,0.174,0.176,0.176,0.176,0.18,0.179,0.188,0.188,0.202,0.24,0.263,0.304,0.319,0.328,0.356,0.387,0.393,0.402,0.402,0.405,0,0
