,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Guatemala,Billion Kwh,0.3,0,0,0,0,0,0,0,0,0,0.285,0.33,0.364,0.368,0.386,0.445,0.443,0.525,0.156,0.787,0.786,0.786,0.821,1.63,1.63,1.408,1.336,1.71,1.156,1.501,1.829,1.74,1.837,2.009,2.51,2.807,0,0
Guinea,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea0Bissau,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0.016,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawaiian Trade Zone,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.009,0.015,0.036,0.074,0.159,0.142,0.145,0.197,0.168,0.16,0.768,1.029,1.036,0.923,1.45,0,0
Hong Kong,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.093,0.08,0.091,0.095,0.106,0.106,0,0
Hungary,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0.034,0.048,0.091,0.077,0.09,0.103,0.091,0.095,0.112,0.12,0.12,0.127,0.072,0.198,0.757,1.74,1.439,1.819,2.258,2.784,2.973,2.605,2.526,2.651,2.933,3.094,0,0
Iceland,Billion Kwh,0,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.283,0.23,0.256,0.26,0.29,0.346,0.375,0.655,1.136,1.323,1.451,1.433,1.406,1.485,1.662,2.633,3.581,4.038,4.553,4.234,4.467,5.079,5.248,5.248,5.013,0,0
India,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0.032,0.039,0.088,0.099,0.2,0.53,0.928,1.043,1.133,2.486,3.038,4.073,4.541,5.47,6.402,8.545,10.658,13.831,23.321,29.826,34.446,42.988,52.753,59.747,67.704,74.972,0,0
Indonesia,Billion Kwh,0,0,0,0.2,0.2,0.4,0.6,0.7,1,1,1.125,1.049,1.084,1.094,1.939,2.215,2.357,2.61,2.622,2.733,4.875,6.039,6.249,6.309,6.676,6.626,6.69,7.05702,8.3564,9.3581,9.457,9.593,9.696,9.6,11.008,11.193,0,0
Iran,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037,0.034,0.03,0.027,0.047,0.071,0.125,0.143,0.196,0.227,0.173,0.2962,0.23,0.401,0.407,0.235,0,0
Iraq,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.028,0.032,0.031,0.041,0.131,0.254,0.278,0.339,0.431,0.47,0.54,0.764,1.242,1.751,2.127,2.619,3.207,3.129,4.716,4.504,5.094,5.751,7.125,0,0
Israel,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.011,0.012,0.011,0.011,0.01,0.01,0.016,0.075,0.139,0.272,0.451,0.543,0.908,1.19,0,0
Italy,Billion Kwh,3.8,3.4,3.3,3.2,3.3,3,3.5,3.7,3.8,3.2,3.331,3.408,3.654,3.89,3.718,3.847,4.414,4.86,5.693,6.646,7.194,8.291,9.599,11.316,12.949,13.851,15.277,16.595,18.239,21.889,27.554,38.897,51.975,60.748,63.679,64.944,0,0
Jamaica,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0.098,0.047,0.092,0.126,0.131,0.123,0.127,0.13,0.102,0.102,0.103,0.085,0.031,0.031,0.068,0.086,0.092,0.089,0.102,0.184,0.18,0.229,0.284,0.277,0.269,0.294,0,0
Japan,Billion Kwh,1.1,0.8,9.7,10.9,12.3,12.4,13.3,14.3,16.3,17.3,12.262,12.622,12.902,12.732,13.673,15.808,17.011,18.529,18.601,19.151,19.017,19.456,20.998,23.106,24.056,28.569,29.4,30.68,26.813,27.024,41.028,43.719,46.595,55.246,70.589,84.815,0,0
Jordan,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.003,0.003,0.003,0.003,0.008,0.009,0.009,0.008,0.009,0.012,0.012,0.01,0.012,0.011,0.009,0.009,0.008,0.131,0,0
Kazakhstan,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.006,0.014,0.182,0,0
Kenya,Billion Kwh,0.1,0.1,0.1,0.3,0.4,0.5,0.5,0.6,0.5,0.5,0.527,0.504,0.486,0.492,0.383,0.512,0.515,0.488,0.512,0.505,0.745,0.796,0.702,1.103,1.351,1.32,1.329,1.347,1.316,1.586,1.691,1.748,1.824,2.227,4.258,4.686,0,0
Kiribati,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Korea, North",Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
